Age,Gender,Team,Team_State,State,Country,Fan_Length,Attendance,Own_Jersey,Spent,Podcast,FF,Other_Sports,SB_Predict,Player
26-30,Male,Las Vegas Raiders,Nevada,California,,6-9,Yes,Yes,$200-$299,Yes,Yes,Baseball,Buffalo Bills,Derek Carr
41-50,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,25+,Yes,No,$50-$99,No,No,Baseball,Kansas City Chiefs,
21-25,Female,Baltimore Ravens,Maryland,Other,Australia,3-5,No,Yes,$0-$49,Yes,Yes,"Cricket, Nrl",Baltimore Ravens,Mark Andrews
21-25,Male,Pittsburgh Steelers,Pennsylvania,New Jersey,,10-14,Yes,No,$0-$49,Yes,Yes,Hockey,Kansas City Chiefs,Najee Harris
36-40,Male,Baltimore Ravens,Maryland,Maryland,,25+,Yes,Yes,$0-$49,Yes,Yes,None,Buffalo Bills,Lamar Jackson
16-20,Male,Detroit Lions,Michigan,Indiana,,6-9,Yes,Yes,$100-$199,No,Yes,Basketball,Baltimore Ravens,Amon-Ra St. Brown
41-50,Male,Baltimore Ravens,Maryland,Virginia,,25+,Yes,Yes,$100-$199,Yes,Yes,None,Buffalo Bills,
26-30,Male,Washington Commanders,Maryland,Florida,,25+,Yes,Yes,$0-$49,No,Yes,"Baseball,Basketball,Hockey,Tennis,Soccer",Buffalo Bills,Terry Mclaurin
31-35,Male,Buffalo Bills,New York,New York,,25+,Yes,Yes,$50-$99,Yes,Yes,"Cycling, F1",Buffalo Bills,Gabe Davis
21-25,Male,Detroit Lions,Michigan,California,,6-9,No,Yes,$0-$49,No,Yes,"Baseball,Basketball,Tennis,Soccer",Buffalo Bills,Jack Fox
31-35,Male,New York Giants,New Jersey,Other,Ireland,10-14,No,Yes,$0-$49,Yes,Yes,"Basketball,Rugby, Soccer (Premier League), Pro Cycling",Buffalo Bills,Jj Watt
26-30,Male,Washington Commanders,Maryland,Virginia,,15-19,Yes,Yes,$50-$99,Yes,Yes,None,Tampa Bay Buccaneers,Chase Young
Under 16,Male,Denver Broncos,Colorado,Pennsylvania,,3-5,Yes,Yes,$100-$199,Yes,Yes,"Basketball,Golf",Buffalo Bills,Javonte Williams
36-40,Male,San Francisco 49ers,California,Utah,,25+,Yes,Yes,$0-$49,No,Yes,"Basketball,Golf",Buffalo Bills,George Kittle
36-40,Male,Los Angeles Rams,California,California,,15-19,Yes,Yes,$50-$99,No,Yes,"Baseball,Basketball",Los Angeles Rams,Aaron Donald
36-40,Male,Denver Broncos,Colorado,Colorado,,20-24,Yes,Yes,$200-$299,No,No,"Basketball,Hockey",Buffalo Bills,Von Miller
31-35,Male,Baltimore Ravens,Maryland,Other,Canada,0-2,No,Yes,$100-$199,No,Yes,Hockey,Buffalo Bills,Lamar Jackson
41-50,Female,Las Vegas Raiders,Nevada,New Mexico,,25+,Yes,Yes,$0-$49,Yes,No,None,Buffalo Bills,Hunter Renfrow
31-35,Male,Pittsburgh Steelers,Pennsylvania,Georgia,,25+,Yes,Yes,$200-$299,Yes,Yes,"Hockey,Soccer",Pittsburgh Steelers,Najee Harris
51+,Male,Washington Commanders,Maryland,Florida,,25+,Yes,Yes,$0-$49,No,No,"Baseball,Golf",Buffalo Bills,Terry Mclaurin
16-20,Male,Pittsburgh Steelers,Pennsylvania,Florida,,6-9,No,No,$0-$49,No,No,Lax,Pittsburgh Steelers,Minkah Fitzpatrick
26-30,Male,Pittsburgh Steelers,Pennsylvania,Ohio,,20-24,Yes,Yes,$50-$99,Yes,Yes,"Hockey,Golf",Pittsburgh Steelers,Tj Watt
31-35,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,15-19,Yes,Yes,$50-$99,No,No,"Baseball,Rugby",Pittsburgh Steelers,Tj Watt
21-25,Male,Baltimore Ravens,Maryland,Virginia,,20-24,Yes,Yes,$0-$49,Yes,Yes,"Baseball,Basketball,Golf",Buffalo Bills,Lamar Jackson
31-35,Male,Detroit Lions,Michigan,Pennsylvania,,20-24,Yes,Yes,$50-$99,Yes,Yes,Baseball,Buffalo Bills,Jamaal Williams
41-50,Male,Pittsburgh Steelers,Pennsylvania,Iowa,,25+,Yes,Yes,$300-$499,Yes,Yes,"Golf,Soccer",Buffalo Bills,Tj Watt
16-20,Male,Baltimore Ravens,Maryland,Maryland,,0-2,No,No,$0-$49,No,No,"Baseball,Basketball",Tampa Bay Buccaneers,Justin Tucker
36-40,Male,Pittsburgh Steelers,Pennsylvania,Indiana,,25+,Yes,Yes,$50-$99,No,No,"Basketball,Soccer",Kansas City Chiefs,
26-30,Male,Detroit Lions,Michigan,Michigan,,20-24,Yes,Yes,$300-$499,Yes,Yes,Basketball,Detroit Lions,Jamaal Williams
21-25,Male,Pittsburgh Steelers,Pennsylvania,Maryland,,15-19,No,Yes,$100-$199,No,Yes,"Baseball,Basketball",Buffalo Bills,Tj Watt
21-25,Male,Baltimore Ravens,Maryland,Indiana,,10-14,Yes,Yes,$0-$49,No,Yes,"Basketball,Hockey",Baltimore Ravens,Justin Tucker
21-25,Male,Detroit Lions,Michigan,Michigan,,6-9,Yes,Yes,$100-$199,Yes,No,"Baseball,Hockey",Buffalo Bills,Justin Herbert
26-30,Female,Detroit Lions,Michigan,Minnesota,,25+,Yes,Yes,$100-$199,No,Yes,"Baseball,Hockey",Buffalo Bills,
21-25,Male,Detroit Lions,Michigan,Michigan,,6-9,No,Yes,$50-$99,Yes,Yes,"Baseball,Golf",Buffalo Bills,Amon-Ra St. Brown
16-20,Male,Detroit Lions,Michigan,Michigan,,6-9,Yes,Yes,$0-$49,No,Yes,"Basketball,Hockey",Buffalo Bills,Lamar Jackson
31-35,Male,Detroit Lions,Michigan,Michigan,,25+,Yes,Yes,$200-$299,Yes,No,None,Detroit Lions,Jamaal Williams
31-35,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,15-19,Yes,Yes,$0-$49,Yes,Yes,"Baseball,Hockey,Golf",Buffalo Bills,Cam Heyward
31-35,Male,Washington Commanders,Maryland,Other,Russia,3-5,No,No,$0-$49,Yes,No,None,Buffalo Bills,Aaron Rodgers
26-30,Male,Baltimore Ravens,Maryland,Maryland,,10-14,Yes,Yes,$0-$49,Yes,Yes,None,Baltimore Ravens,Lamar Jackson
21-25,Male,Washington Commanders,Maryland,North Carolina,,15-19,Yes,Yes,$50-$99,Yes,Yes,"Baseball,Basketball,Hockey",Buffalo Bills,Jonathan Allen
51+,Male,Denver Broncos,Colorado,Colorado,,25+,Yes,No,$0-$49,No,Yes,Hockey,Buffalo Bills,
16-20,Male,Denver Broncos,Colorado,Arkansas,,3-5,No,Yes,$50-$99,No,No,None,Denver Broncos,Russell Wilson
Under 16,Male,Detroit Lions,Michigan,Michigan,,3-5,Yes,Yes,$100-$199,Yes,Yes,Basketball,Buffalo Bills,Josh Allen
21-25,Male,Pittsburgh Steelers,Pennsylvania,Other,UK,0-2,No,No,$0-$49,No,No,Soccer,Buffalo Bills,
21-25,Female,Baltimore Ravens,Maryland,New Jersey,,3-5,No,Yes,$200-$299,Yes,No,Baseball,Buffalo Bills,
26-30,Male,Denver Broncos,Colorado,Other,Mexico,20-24,Yes,Yes,$50-$99,Yes,Yes,"Basketball,Soccer",Buffalo Bills,Russell Wilson
31-35,Male,Los Angeles Rams,California,California,,3-5,Yes,Yes,$1000+,Yes,Yes,"Baseball,Soccer",Los Angeles Rams,Cooper Kupp
31-35,Male,San Francisco 49ers,California,California,,25+,Yes,Yes,$100-$199,No,No,None,San Francisco 49ers,Nick Bosa
51+,Male,Denver Broncos,Colorado,Colorado,,6-9,Yes,No,$0-$49,Yes,No,None,Buffalo Bills,Von Miller
41-50,Male,Pittsburgh Steelers,Pennsylvania,North Carolina,,25+,Yes,Yes,$200-$299,No,No,Basketball,Pittsburgh Steelers,Tj Watt
31-35,Male,Pittsburgh Steelers,Pennsylvania,Alabama,,20-24,Yes,No,$0-$49,No,No,"Baseball,Soccer",Buffalo Bills,Najee Harris
51+,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,25+,Yes,Yes,$200-$299,Yes,No,Basketball,Pittsburgh Steelers,Tj Watt
36-40,Male,Washington Commanders,Maryland,Maryland,,25+,Yes,Yes,$0-$49,Yes,No,"Baseball,Basketball,Tennis,Golf",Buffalo Bills,Kirk Cousins
26-30,Male,Chicago Bears,Illinois,Colorado,,25+,Yes,Yes,$1000+,Yes,Yes,"Baseball,Basketball,Hockey,Golf",Buffalo Bills,Josh Allen
31-35,Male,Detroit Lions,Michigan,Michigan,,10-14,Yes,No,$100-$199,Yes,Yes,None,Los Angeles Rams,Jamaal Williams
16-20,Male,Baltimore Ravens,Maryland,Maryland,,3-5,No,No,$0-$49,No,No,Baseball,Buffalo Bills,Lamar Jackson
16-20,Male,Detroit Lions,Michigan,Michigan,,6-9,Yes,Yes,$100-$199,Yes,Yes,"Baseball,Basketball",Buffalo Bills,Aidan Hutchinson
26-30,Male,Baltimore Ravens,Maryland,South Carolina,,10-14,No,No,$0-$49,Yes,Yes,"Basketball,Tennis,Cricket",Baltimore Ravens,Lamar Jackson
51+,Male,Detroit Lions,Michigan,California,,25+,Yes,Yes,$300-$499,No,No,"Basketball,Hockey,Soccer",Buffalo Bills,Matt Stafford
26-30,Male,Los Angeles Rams,California,Other,Germany,6-9,Yes,Yes,$100-$199,Yes,No,Soccer,Los Angeles Rams,Aaron Donald
21-25,Male,Denver Broncos,Colorado,Colorado,,3-5,Yes,Yes,$100-$199,Yes,No,Hockey,Buffalo Bills,Von Miller
26-30,Male,Baltimore Ravens,Maryland,Colorado,,10-14,No,Yes,$0-$49,No,No,"Baseball,Basketball,Hockey,Mma",Baltimore Ravens,Mark Andrews
51+,Male,Pittsburgh Steelers,Pennsylvania,Georgia,,25+,Yes,Yes,$100-$199,Yes,No,Hockey,Buffalo Bills,Tj Watt
Under 16,Female,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,3-5,Yes,No,$0-$49,Yes,Yes,"Baseball,Hockey",Tampa Bay Buccaneers,Najee Harris
41-50,Male,Denver Broncos,Colorado,Colorado,,25+,Yes,Yes,$100-$199,No,No,Hockey,Denver Broncos,Von Miller
21-25,Male,Denver Broncos,Colorado,Georgia,,10-14,Yes,Yes,$300-$499,Yes,Yes,Basketball,Buffalo Bills,Pat Surtain Ii
36-40,Male,Los Angeles Rams,California,Florida,,20-24,No,Yes,$1000+,No,Yes,None,Los Angeles Rams,Aaron Donald
31-35,Male,Los Angeles Rams,California,Texas,,20-24,No,Yes,$50-$99,Yes,No,"Baseball,Basketball",Los Angeles Rams,Aaron Donald
31-35,Male,Pittsburgh Steelers,Pennsylvania,Ohio,,25+,No,Yes,$100-$199,Yes,Yes,None,Buffalo Bills,Najee Harris
26-30,Male,Denver Broncos,Colorado,Colorado,,25+,Yes,Yes,$0-$49,No,Yes,Baseball,Buffalo Bills,Justin Simmons
26-30,Male,Pittsburgh Steelers,Pennsylvania,North Carolina,,15-19,No,No,$0-$49,No,No,Basketball,Cincinnati Bengals,Cam Heyward
41-50,Male,Denver Broncos,Colorado,Hawaii,,25+,No,No,$0-$49,No,No,Basketball,Buffalo Bills,Justin Simmons
21-25,Male,Detroit Lions,Michigan,Michigan,,10-14,No,No,$0-$49,Yes,Yes,Hockey,Buffalo Bills,Amon-Ra St. Brown
26-30,Male,Buffalo Bills,New York,Utah,,25+,Yes,Yes,$100-$199,Yes,Yes,"Hockey,Golf",Buffalo Bills,Josh Allen
36-40,Male,Minnesota Vikings,Minnesota,Washington,,25+,Yes,Yes,$0-$49,No,Yes,Mma,Buffalo Bills,Adam Thielen
21-25,Male,New Orleans Saints,Louisiana,Georgia,,3-5,No,Yes,$100-$199,Yes,Yes,None,New Orleans Saints,Cameron Jordan
31-35,Prefer not to say,Minnesota Vikings,Minnesota,Prefer not to answer,,20-24,Yes,No,$0-$49,Yes,No,"Baseball,Olympic Curling",Buffalo Bills,Justin Jefferson
21-25,Male,Minnesota Vikings,Minnesota,Iowa,,10-14,Yes,Yes,$0-$49,No,Yes,None,Minnesota Vikings,Justin Jefferson
26-30,Male,Tampa Bay Buccaneers,Florida,Florida,,20-24,Yes,Yes,$0-$49,Yes,Yes,Baseball,Tampa Bay Buccaneers,
51+,Male,Minnesota Vikings,Minnesota,Minnesota,,25+,Yes,Yes,$200-$299,Yes,No,None,Buffalo Bills,Justin Jefferson
36-40,Male,Tampa Bay Buccaneers,Florida,Washington,,25+,Yes,Yes,$100-$199,Yes,No,None,Tampa Bay Buccaneers,Mike Evans
16-20,Male,Seattle Seahawks,Washington,Washington,,6-9,No,Yes,$100-$199,No,No,Soccer,Cincinnati Bengals,Tyler Lockett
41-50,Male,New England Patriots,Massachusetts,Colorado,,25+,Yes,No,$0-$49,No,No,"Baseball,Basketball,Hockey,Tennis",New England Patriots,Jack Jones
41-50,Male,Los Angeles Chargers,California,California,,25+,Yes,Yes,$100-$199,Yes,No,"Baseball,Boxing",Buffalo Bills,Justin Herbert
36-40,Male,Denver Broncos,Colorado,Colorado,,20-24,Yes,Yes,$100-$199,No,No,Hockey,Denver Broncos,Justin Simmons
36-40,Male,Minnesota Vikings,Minnesota,Oregon,,25+,Yes,No,$0-$49,Yes,Yes,"Basketball,Golf",Minnesota Vikings,Justin Tucker
26-30,Male,Los Angeles Chargers,California,California,,25+,Yes,Yes,$100-$199,Yes,Yes,"Baseball,Basketball,Golf",Buffalo Bills,Justin Herbert
26-30,Male,Los Angeles Chargers,California,Washington,,6-9,Yes,Yes,$1000+,Yes,No,"Baseball,Basketball,Ultimate Frisbee",Los Angeles Chargers,Derwin James
31-35,Male,Tampa Bay Buccaneers,Florida,Colorado,,25+,Yes,Yes,$0-$49,No,Yes,Hockey,Tampa Bay Buccaneers,Mike Evans
16-20,Male,Minnesota Vikings,Minnesota,Arizona,,10-14,Yes,Yes,$50-$99,No,Yes,"Baseball,Basketball,Hockey,Golf",Buffalo Bills,Justin Jefferson
26-30,Male,Tennessee Titans,Tennessee,Tennessee,,20-24,Yes,Yes,$100-$199,Yes,Yes,None,Tennessee Titans,Derrick Henry
21-25,Male,Minnesota Vikings,Minnesota,Minnesota,,15-19,Yes,Yes,$0-$49,Yes,Yes,"Baseball,Basketball",Buffalo Bills,Justin Jefferson
31-35,Male,Minnesota Vikings,Minnesota,California,,25+,Yes,Yes,Prefer not to answer,Yes,Yes,Hockey,Minnesota Vikings,
16-20,Male,Los Angeles Chargers,California,Other,UK,0-2,No,No,$0-$49,No,No,Soccer,Los Angeles Chargers,Justin Herbert
16-20,Male,Miami Dolphins,Florida,Wisconsin,,15-19,Yes,Yes,$50-$99,Yes,Yes,"Baseball,Basketball,Hockey,Soccer",Miami Dolphins,Jevon Holland
36-40,Male,Los Angeles Chargers,California,Missouri,,10-14,Yes,Yes,$200-$299,Yes,Yes,None,Los Angeles Chargers,Justin Herbert
31-35,Male,Minnesota Vikings,Minnesota,Virginia,,20-24,Yes,Yes,$0-$49,No,Yes,None,Buffalo Bills,Justin Jefferson
21-25,Male,Los Angeles Chargers,California,California,,15-19,Yes,Yes,$100-$199,Yes,Yes,"Basketball,Golf",Buffalo Bills,Justin Herbert
21-25,Male,Las Vegas Raiders,Nevada,Florida,,0-2,No,No,$0-$49,No,Yes,"Baseball,Hockey",New Orleans Saints,
21-25,Male,Los Angeles Chargers,California,California,,15-19,Yes,Yes,$100-$199,No,Yes,Basketball,Los Angeles Chargers,Derwin James
31-35,Male,Dallas Cowboys,Texas,Texas,,20-24,Yes,Yes,$200-$299,No,Yes,None,Buffalo Bills,Micah Parsons
26-30,Male,Cincinnati Bengals,Ohio,Pennsylvania,,10-14,No,Yes,$0-$49,Yes,Yes,Basketball,Buffalo Bills,Joe Burrow
41-50,Male,Miami Dolphins,Florida,West Virginia,,25+,Yes,Yes,$100-$199,No,Yes,None,Buffalo Bills,Jevon Holland
26-30,Male,Tampa Bay Buccaneers,Florida,Florida,,15-19,Yes,Yes,$0-$49,No,No,"Mma, Boxing, Martial Arts In General",Buffalo Bills,
26-30,Male,Detroit Lions,Michigan,Michigan,,15-19,Yes,Yes,$100-$199,No,Yes,None,Buffalo Bills,Matt Stafford
31-35,Male,Tampa Bay Buccaneers,Florida,Connecticut,,20-24,No,Yes,$50-$99,No,Yes,None,Buffalo Bills,Devin White
21-25,Male,Dallas Cowboys,Texas,Virginia,,6-9,No,Yes,$0-$49,No,Yes,None,Dallas Cowboys,
21-25,Male,Buffalo Bills,New York,New York,,6-9,No,No,$0-$49,No,Yes,"Hockey,Soccer",Buffalo Bills,Josh Allen
36-40,Male,Seattle Seahawks,Washington,Washington,,6-9,Yes,Yes,$300-$499,Yes,Yes,None,Buffalo Bills,Michael Dickson
41-50,Male,New Orleans Saints,Louisiana,Louisiana,,25+,No,Yes,$50-$99,Yes,Yes,None,Buffalo Bills,Cameron Jordan
26-30,Male,Buffalo Bills,New York,New York,,15-19,Yes,Yes,$200-$299,Yes,No,F1 And Rugby,Buffalo Bills,Josh Allen
26-30,Male,Minnesota Vikings,Minnesota,Minnesota,,25+,Yes,Yes,$0-$49,Yes,No,Basketball,Buffalo Bills,Jj Watt
26-30,Male,Los Angeles Chargers,California,Utah,,15-19,No,Yes,$300-$499,Yes,Yes,Basketball,Los Angeles Chargers,
16-20,Male,Denver Broncos,Colorado,Colorado,,10-14,Yes,Yes,$50-$99,No,Yes,Hockey,Buffalo Bills,Pat Surtain Ii
31-35,Male,Minnesota Vikings,Minnesota,Other,Scotland,6-9,Yes,Yes,$0-$49,Yes,Yes,Golf,Buffalo Bills,Adam Thielen
21-25,Male,Los Angeles Chargers,California,Other,UK,6-9,No,Yes,$0-$49,Yes,No,"Basketball,Golf,Soccer, Formula 1, Mma,",Los Angeles Chargers,Derwin James Jr
36-40,Male,Denver Broncos,Colorado,New York,,25+,Yes,Yes,$0-$49,No,No,Hockey,Buffalo Bills,Von Miller
26-30,Male,Los Angeles Chargers,California,Illinois,,15-19,No,Yes,$0-$49,Yes,Yes,None,Baltimore Ravens,Derwin James
21-25,Male,Minnesota Vikings,Minnesota,Minnesota,,10-14,Yes,Yes,$50-$99,No,No,"Baseball,Basketball",Minnesota Vikings,Justin Jefferson
21-25,Male,Tampa Bay Buccaneers,Florida,Connecticut,,0-2,No,No,$50-$99,No,Yes,None,Buffalo Bills,Tom Brady
21-25,Male,Miami Dolphins,Florida,Florida,,6-9,No,Yes,$0-$49,Yes,Yes,"Baseball,Basketball,Tennis,Golf",Buffalo Bills,
31-35,Male,Detroit Lions,Michigan,Florida,,25+,Yes,No,$0-$49,No,Yes,"Baseball,Basketball",Buffalo Bills,Matt Stafford
26-30,Male,Minnesota Vikings,Minnesota,Idaho,,20-24,No,Yes,$0-$49,Yes,Yes,Basketball,Buffalo Bills,Stefon Diggs
16-20,Male,Miami Dolphins,Florida,North Carolina,,3-5,No,Yes,$100-$199,No,Yes,Tennis,Miami Dolphins,
36-40,Male,Los Angeles Chargers,California,Florida,,10-14,Yes,Yes,$0-$49,No,No,Baseball,Los Angeles Chargers,
16-20,Male,Minnesota Vikings,Minnesota,Other,UK,6-9,Yes,Yes,$200-$299,Yes,Yes,Soccer,Buffalo Bills,Justin Jefferson
36-40,Male,Denver Broncos,Colorado,Colorado,,25+,Yes,Yes,$200-$299,Yes,Yes,"Baseball,Hockey,Tennis,Soccer",Denver Broncos,Von Miller
16-20,Male,Washington Commanders,Maryland,Maryland,,10-14,Yes,Yes,$500-$999,No,Yes,"Baseball,Basketball,Hockey",Buffalo Bills,Stefon Diggs
21-25,Male,Los Angeles Chargers,California,Other,Canada,0-2,No,Yes,$300-$499,Yes,Yes,None,Los Angeles Chargers,Justin Herbert
16-20,Male,Los Angeles Rams,California,California,,6-9,Yes,Yes,$50-$99,No,Yes,Basketball,Los Angeles Rams,Cooper Kupp
26-30,Male,Tampa Bay Buccaneers,Florida,Alabama,,15-19,No,Yes,$0-$49,No,No,"Baseball,Basketball,Golf",Tampa Bay Buccaneers,Tom Brady
21-25,Male,Denver Broncos,Colorado,Kentucky,,20-24,No,Yes,$0-$49,No,Yes,"Basketball,Hockey,Golf",Buffalo Bills,Joe Burrow
16-20,Male,New England Patriots,Massachusetts,Massachusetts,,10-14,Yes,Yes,$100-$199,No,Yes,"Basketball,Hockey",Los Angeles Chargers,
21-25,Male,Miami Dolphins,Florida,Massachusetts,,15-19,Yes,Yes,$100-$199,Yes,Yes,Basketball,Denver Broncos,Jaylen Waddle
41-50,Male,Pittsburgh Steelers,Pennsylvania,Ohio,,15-19,Yes,No,$0-$49,No,No,"Baseball,Basketball,Hockey",Buffalo Bills,
31-35,Male,Los Angeles Chargers,California,California,,15-19,Yes,Yes,$300-$499,No,No,"Basketball,Boxing/Mma",Buffalo Bills,Justin Herbert
36-40,Male,Tampa Bay Buccaneers,Florida,Other,Canada,10-14,Yes,No,$0-$49,No,Yes,"Baseball,Hockey",Tampa Bay Buccaneers,Mike Evans
36-40,Male,Los Angeles Chargers,California,Texas,,25+,No,Yes,$0-$49,Yes,No,None,Los Angeles Chargers,Jj Watt
36-40,Male,Miami Dolphins,Florida,Florida,,25+,No,Yes,$0-$49,No,No,Hockey,Buffalo Bills,Jaylen Waddle
16-20,Male,Minnesota Vikings,Minnesota,Minnesota,,10-14,Yes,Yes,$0-$49,No,Yes,"Baseball,Basketball,Hockey",Buffalo Bills,Justin Jefferson
16-20,Male,Los Angeles Chargers,California,Texas,,3-5,No,No,$0-$49,Yes,Yes,"Baseball,Basketball",Los Angeles Chargers,Justin Herbert
26-30,Male,Seattle Seahawks,Washington,Washington,,20-24,Yes,No,$0-$49,Yes,Yes,"Basketball,Hockey,Soccer, Gaelic Football, Motor Racing",Buffalo Bills,Ja'Marr Chase
31-35,Male,Seattle Seahawks,Washington,Washington,,10-14,No,No,$0-$49,No,Yes,Basketball,Buffalo Bills,Christian Mccaffrey
51+,Female,Miami Dolphins,Florida,Georgia,,25+,Yes,No,$0-$49,Yes,Yes,Tennis,Buffalo Bills,Tua Tagovailoa
41-50,Male,Tampa Bay Buccaneers,Florida,Oregon,,25+,Yes,Yes,$200-$299,No,No,None,Tampa Bay Buccaneers,Mike Evans
31-35,Male,Cincinnati Bengals,Ohio,Florida,,25+,Yes,Yes,$100-$199,Yes,Yes,Basketball,Cincinnati Bengals,Joe Mixon
Under 16,Male,Minnesota Vikings,Minnesota,North Dakota,,3-5,No,No,$0-$49,No,No,"Baseball,Basketball,Hockey,Soccer",Tampa Bay Buccaneers,Adam Thielen
21-25,Male,Cincinnati Bengals,Ohio,Texas,,10-14,Yes,Yes,$0-$49,No,Yes,None,Cincinnati Bengals,Joe Burrow
21-25,Male,New Orleans Saints,Louisiana,Minnesota,,10-14,Yes,Yes,$0-$49,No,Yes,"Baseball,Basketball",Tennessee Titans,Cameron Jordan
51+,Male,Denver Broncos,Colorado,North Carolina,,25+,Yes,Yes,$100-$199,No,No,None,Denver Broncos,Von Miller
31-35,Male,Minnesota Vikings,Minnesota,Oregon,,10-14,Yes,Yes,$0-$49,Yes,No,"Baseball,Basketball,Hockey",Buffalo Bills,Linval Joseph
31-35,Male,Baltimore Ravens,Maryland,Maryland,,15-19,Yes,Yes,$200-$299,Yes,Yes,"Basketball,Cricket",Baltimore Ravens,Lamar Jackson
31-35,Male,Tampa Bay Buccaneers,Florida,Other,Canada,10-14,Yes,Yes,$200-$299,Yes,No,Basketball,Tampa Bay Buccaneers,Tom Brady
41-50,Male,Dallas Cowboys,Texas,Michigan,,15-19,Yes,Yes,$0-$49,Yes,No,"Basketball,Tennis",Buffalo Bills,Micah Parsons
51+,,Carolina Panthers,North Carolina,Other,Burkina Faso,25+,No,Yes,$1000+,Yes,Yes,"Tennis,Golf,Hurley. Cricket.",New York Jets,Deshaun Watson
21-25,Male,Seattle Seahawks,Washington,Other,Germany,6-9,No,Yes,$200-$299,Yes,Yes,"Baseball,Soccer, F1",Buffalo Bills,Tyler Lockett
41-50,Male,Pittsburgh Steelers,Pennsylvania,Florida,,25+,Yes,Yes,$0-$49,No,Yes,"Hockey,Soccer, Mma",Los Angeles Chargers,Cam Heyward
41-50,Male,Cincinnati Bengals,Ohio,Kentucky,,15-19,Yes,Yes,$200-$299,Yes,No,"Baseball,Basketball",Cincinnati Bengals,Joe Burrow
26-30,Male,Cincinnati Bengals,Ohio,Other,UK,3-5,No,Yes,$100-$199,Yes,No,"Basketball,Hockey,Association Football",Cincinnati Bengals,Joe Burrow
16-20,Male,Los Angeles Chargers,California,California,,3-5,No,No,$0-$49,No,No,Basketball,Los Angeles Chargers,Derwin James
41-50,Male,Minnesota Vikings,Minnesota,Florida,,25+,No,No,$0-$49,No,Yes,"Baseball,Basketball,Hockey",Minnesota Vikings,Eric Kendricks
21-25,Male,Los Angeles Chargers,California,California,,20-24,Yes,Yes,$100-$199,No,Yes,"Baseball,F1, Indycar",Buffalo Bills,Austin Ekeler
Under 16,Male,Minnesota Vikings,Minnesota,Minnesota,,6-9,Yes,Yes,$0-$49,No,Yes,"Baseball,Basketball",Buffalo Bills,Justin Jefferson
21-25,Non-binary,Tennessee Titans,Tennessee,Illinois,,6-9,Yes,Yes,$0-$49,No,Yes,Basketball,Tennessee Titans,
16-20,Male,Tampa Bay Buccaneers,Florida,New York,,3-5,No,Yes,$100-$199,No,Yes,"Baseball,Basketball",Buffalo Bills,Josh Allen
16-20,Male,Los Angeles Chargers,California,Other,Canada,3-5,Yes,Yes,$100-$199,No,Yes,"Hockey,Tennis",Los Angeles Chargers,Derwin James
51+,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,25+,Yes,Yes,$50-$99,No,No,"Baseball,Hockey",Tampa Bay Buccaneers,Tj Watt
41-50,Male,Los Angeles Rams,California,Other,The Netherlands,20-24,No,Yes,$0-$49,No,No,"Baseball,Basketball,Tennis,Soccer",Tampa Bay Buccaneers,Cooper Kupp
36-40,Male,Miami Dolphins,Florida,Pennsylvania,,25+,Yes,Yes,$50-$99,Yes,Yes,"Baseball,Basketball,Hockey,Golf,Soccer",Tampa Bay Buccaneers,Gabe Davis
21-25,Male,Los Angeles Chargers,California,California,,3-5,Yes,No,$0-$49,Yes,Yes,Golf,Buffalo Bills,Justin Jefferson
31-35,Male,Seattle Seahawks,Washington,Other,New Zealand,10-14,No,Yes,$50-$99,Yes,No,Rugby,Buffalo Bills,Tyler Lockett
21-25,Male,Tennessee Titans,Tennessee,Ohio,,10-14,Yes,Yes,$0-$49,No,Yes,Hockey,Tennessee Titans,
31-35,Prefer not to say,Seattle Seahawks,Washington,Washington,,6-9,No,No,$0-$49,No,No,"Baseball,Basketball",Seattle Seahawks,Geno Smith
41-50,Male,Minnesota Vikings,Minnesota,Washington,,25+,Yes,Yes,$0-$49,Yes,Yes,"Baseball,Basketball,Hockey,Tennis,Golf",Minnesota Vikings,Justin Jefferson
31-35,Male,Los Angeles Chargers,California,Other,Sweden,15-19,Yes,Yes,$0-$49,No,Yes,None,Green Bay Packers,Justin Herbert
16-20,Male,Cincinnati Bengals,Ohio,Ohio,,10-14,Yes,Yes,$200-$299,Yes,Yes,"Baseball,Hockey",Cincinnati Bengals,Joe Burrow
41-50,Male,Baltimore Ravens,Maryland,Pennsylvania,,20-24,Yes,No,$0-$49,Yes,Yes,"Baseball,Hockey,Formula 1",Baltimore Ravens,Lamar Jackson
26-30,Male,Los Angeles Chargers,California,Florida,,15-19,Yes,Yes,$0-$49,Yes,Yes,"Basketball,Hockey,Mma",Los Angeles Chargers,Keenan Allen
31-35,Male,Detroit Lions,Michigan,Indiana,,20-24,Yes,Yes,$100-$199,No,Yes,None,Buffalo Bills,Frank Ragnow
16-20,Male,Pittsburgh Steelers,Pennsylvania,Virginia,,6-9,No,Yes,$50-$99,No,Yes,"Hockey,Tennis",Buffalo Bills,Tj Watt
